SH600000	2005-01-01	2021-06-18
SH600009	2005-01-01	2021-06-18
SH600010	2005-01-01	2021-06-18
SH600011	2017-12-11	2021-06-18
SH600015	2005-01-01	2021-06-18
SH600016	2005-01-01	2021-06-18
SH600018	2013-12-16	2021-06-18
SH600019	2005-01-01	2021-06-18
SH600025	2018-06-11	2021-06-18
SH600028	2005-01-01	2021-06-18
SH600029	2005-01-01	2021-06-18
SH600030	2005-01-01	2021-06-18
SH600031	2005-01-01	2021-06-18
SH600036	2005-01-01	2021-06-18
SH600048	2005-01-01	2021-06-18
SH600050	2005-01-01	2021-06-18
SH600061	2016-06-13	2021-06-18
SH600104	2005-01-01	2021-06-18
SH600111	2005-01-01	2021-06-18
SH600115	2011-01-04	2021-06-18
SH600150	2020-12-14	2021-06-18
SH600196	2005-01-01	2021-06-18
SH600276	2011-01-04	2021-06-18
SH600309	2005-01-01	2021-06-18
SH600340	2013-01-04	2021-06-18
SH600346	2018-06-11	2021-06-18
SH600362	2005-01-01	2021-06-18
SH600383	2005-01-01	2021-06-18
SH600406	2011-01-04	2021-06-18
SH600436	2017-06-12	2021-06-18
SH600438	2018-06-11	2021-06-18
SH600489	2005-01-01	2021-06-18
SH600519	2005-01-01	2021-06-18
SH600547	2005-01-01	2021-06-18
SH600585	2005-01-01	2021-06-18
SH600588	2005-01-01	2021-06-18
SH600600	2020-12-14	2021-06-18
SH600606	2016-06-13	2021-06-18
SH600660	2005-01-01	2021-06-18
SH600690	2005-01-01	2021-06-18
SH600703	2011-01-04	2021-06-18
SH600705	2013-12-16	2021-06-18
SH600745	2020-06-15	2021-06-18
SH600795	2005-01-01	2021-06-18
SH600809	2018-06-11	2021-06-18
SH600837	2005-01-01	2021-06-18
SH600886	2013-01-04	2021-06-18
SH600887	2011-01-04	2021-06-18
SH600893	2011-01-04	2021-06-18
SH600900	2005-01-01	2021-06-18
SH600918	2020-12-14	2021-06-18
SH600919	2017-06-12	2021-06-18
SH600958	2015-06-15	2021-06-18
SH600999	2010-07-01	2021-06-18
SH601006	2005-01-01	2021-06-18
SH601009	2005-01-01	2021-06-18
SH601012	2017-12-11	2021-06-18
SH601066	2018-12-17	2021-06-18
SH601088	2005-01-01	2021-06-18
SH601111	2005-01-01	2021-06-18
SH601138	2018-12-17	2021-06-18
SH601166	2005-01-01	2021-06-18
SH601169	2005-01-01	2021-06-18
SH601186	2005-01-01	2021-06-18
SH601211	2015-12-14	2021-06-18
SH601225	2014-06-16	2021-06-18
SH601229	2017-06-12	2021-06-18
SH601238	2018-06-11	2021-06-18
SH601288	2005-01-01	2021-06-18
SH601318	2005-01-01	2021-06-18
SH601319	2019-06-17	2021-06-18
SH601328	2005-01-01	2021-06-18
SH601336	2012-07-02	2021-06-18
SH601360	2018-06-11	2021-06-18
SH601377	2011-07-01	2021-06-18
SH601390	2008-07-01	2021-06-18
SH601398	2005-01-01	2021-06-18
SH601600	2005-01-01	2021-06-18
SH601601	2008-07-01	2021-06-18
SH601607	2010-07-01	2021-06-18
SH601618	2010-01-04	2021-06-18
SH601628	2005-01-01	2021-06-18
SH601633	2012-07-02	2021-06-18
SH601658	2020-06-15	2021-06-18
SH601668	2010-01-04	2021-06-18
SH601669	2012-07-02	2021-06-18
SH601688	2010-07-01	2021-06-18
SH601727	2014-12-15	2021-06-18
SH601766	2009-07-01	2021-06-18
SH601788	2015-06-15	2021-06-18
SH601800	2013-01-04	2021-06-18
SH601808	2018-06-11	2021-06-18
SH601816	2020-06-15	2021-06-18
SH601818	2011-01-04	2021-06-18
SH601857	2005-01-01	2021-06-18
SH601872	2020-12-14	2021-06-18
SH601881	2017-06-12	2021-06-18
SH601888	2010-07-01	2021-06-18
SH601899	2005-01-01	2021-06-18
SH601901	2012-07-02	2021-06-18
SH601919	2015-06-15	2021-06-18
SH601933	2011-07-01	2021-06-18
SH601939	2008-07-01	2021-06-18
SH601985	2015-12-14	2021-06-18
SH601988	2005-01-01	2021-06-18
SH601989	2010-07-01	2021-06-18
SH601995	2021-06-11	2021-06-18
SH601998	2005-01-01	2021-06-18
SH603160	2017-06-12	2021-06-18
SH603259	2018-12-17	2021-06-18
SH603288	2018-06-11	2021-06-18
SH603501	2019-12-16	2021-06-18
SH603993	2013-07-01	2021-06-18
SZ688111	2021-06-11	2021-06-18
SZ000001	2005-01-01	2021-06-18
SZ000002	2005-01-01	2021-06-18
SZ000063	2005-01-01	2021-06-18
SZ000069	2005-01-01	2021-06-18
SZ000157	2005-01-01	2021-06-18
SZ000166	2005-01-01	2021-06-18
SZ000333	2005-01-01	2021-06-18
SZ000338	2005-01-01	2021-06-18
SZ000425	2005-01-01	2021-06-18
SZ000538	2005-01-01	2021-06-18
SZ000568	2005-01-01	2021-06-18
SZ000625	2005-01-01	2021-06-18
SZ000651	2005-01-01	2021-06-18
SZ000661	2018-12-17	2021-06-18
SZ000725	2012-07-02	2021-06-18
SZ000728	2008-07-01	2021-06-18
SZ000776	2011-01-04	2021-06-18
SZ000783	2008-07-01	2021-06-18
SZ000858	2005-01-01	2021-06-18
SZ000876	2005-01-01	2021-06-18
SZ000895	2005-01-01	2021-06-18
SZ001979	2005-01-01	2021-06-18
SZ002024	2005-01-01	2021-06-18
SZ002027	2016-06-13	2021-06-18
SZ002142	2005-01-01	2021-06-18
SZ002202	2008-07-01	2021-06-18
SZ002236	2013-01-04	2021-06-18
SZ002241	2012-07-02	2021-06-18
SZ002252	2014-06-16	2021-06-18
SZ002304	2010-07-01	2021-06-18
SZ002352	2017-06-12	2021-06-18
SZ002415	2011-01-04	2021-06-18
SZ002475	2014-06-16	2021-06-18
SZ002493	2018-06-11	2021-06-18
SZ002558	2017-06-12	2021-06-18
SZ002594	2012-01-04	2021-06-18
SZ002607	2019-12-16	2021-06-18
SZ002673	2013-01-04	2021-06-18
SZ002714	2016-12-12	2021-06-18
SZ002736	2015-06-15	2021-06-18
